match,league,date,market,selection,model_prob,bookmaker_odds,implied_prob,edge,kelly_stake,confidence,timestamp,,result,home_score,away_score
Fluminense vs CA Mineiro,Жюпиле Про Лига (Бельгия),2026-03-22,00:30,Фора 0,Хозяева (Ф0),0.7121,1.39,0.7194,0.043,0.0,📌 НИЗКАЯ,"['36.9', '2026-03-21T11:33:07']",?,,
Fluminense vs CA Mineiro,Жюпиле Про Лига (Бельгия),2026-03-22,00:30,Угловые хозяев,Больше 4.5,0.6118,1.65,0.6061,0.0482,2.41,📌 НИЗКАЯ,"['30.4', '2026-03-21T11:33:07']",?,,
Fluminense vs CA Mineiro,Жюпиле Про Лига (Бельгия),2026-03-22,00:30,Исход,Победа хозяев (1),0.5606,1.79,0.5587,0.0381,0.71,📌 НИЗКАЯ,"['23.3', '2026-03-21T11:33:07']",?,,
São Paulo vs SE Palmeiras,Жюпиле Про Лига (Бельгия),2026-03-22,03:00,Фора 0,Хозяева (Ф0),0.7464,1.38,0.7246,0.0725,0.0,📊 ИНФО,"['0.0', '2026-03-21T11:35:28']",?,0,1
Ньюкасл vs Сандерленд,Премьер-лига (Англия),2026-03-22,15:00,Тотал,Больше 1.5,0.7593,1.3,0.7692,0.0401,0.0,📌 НИЗКАЯ,"['39.0', '2026-03-22T11:45:20']",?,,
Ньюкасл vs Сандерленд,Премьер-лига (Англия),2026-03-22,15:00,Угловые,Больше 8.5,0.532,2.06,0.4854,0.0806,10.19,📌 НИЗКАЯ,"['33.7', '2026-03-22T11:45:20']",?,,
Ньюкасл vs Сандерленд,Премьер-лига (Англия),2026-03-22,15:00,Тотал,Больше 2.5,0.5345,2.01,0.4975,0.0705,8.28,📌 НИЗКАЯ,"['30.9', '2026-03-22T11:45:20']",?,,
Ньюкасл vs Сандерленд,Премьер-лига (Англия),2026-03-22,15:00,Обе забьют,Да,0.5539,1.86,0.5376,0.0539,3.97,📌 НИЗКАЯ,"['27.5', '2026-03-22T11:45:20']",?,,
Астон Вилла vs Вест Хэм,Премьер-лига (Англия),2026-03-22,17:15,Фора 0,Хозяева (Ф0),0.565,1.87,0.5348,0.0677,0.0,📊 ИНФО,"['0.0', '2026-03-22T11:47:43']",?,,
Тоттенхэм vs Ноттингем,Премьер-лига (Англия),2026-03-22,17:15,Угловые,Больше 8.5,0.6635,1.55,0.6452,0.0635,5.83,📌 НИЗКАЯ,"['39.1', '2026-03-22T11:50:10']",?,,
